sku_code,division_name,department_name,class_name,collection,designed_for_activity
P354858300,lulu Womens,Womens Tops,Womens 2nd Layers,Define,Social
P492982141,lulu Womens,Womens Bottoms,Womens Pants,Groove,Yoga
P220298292,lulu Womens,Womens Tops,Womens 2nd Layers,Define,Social
P549877443,lulu Womens,Womens Bottoms,Womens Pants,Align Tight,Yoga
P509337604,lulu Womens,Womens Bottoms,Womens Pants,Softstreme,Lounge
P978169225,lulu Womens,Womens Bottoms,Womens Pants,Wunder Train,Train
P002865716,lulu Womens,Womens Bottoms,Womens Pants,Groove,Yoga
P804831487,lulu Womens,Womens Tops,Womens 2nd Layers,Define,Social
P359433068,lulu Womens,Womens Bottoms,Womens Pants,Align Tight,Yoga
P882462929,lulu Womens,Womens Outerwear,Womens Outerwear,Wunder Puff,Social
P9214189110,lulu Womens,Womens Outerwear,Womens Outerwear,Wunder Puff,Social
P5679588211,lulu Womens,Womens Tops,Womens 2nd Layers,Scuba,Lounge
P8847954812,lulu Womens,Womens Bottoms,Womens Pants,Align Tight,Yoga
P0830207213,lulu Womens,Womens Bottoms,Womens Shorts/Skirts,Pace Rival,Run
P8322849214,lulu Womens,Womens Bottoms,Womens Pants,Align Tight,Yoga
P9164657315,lulu Womens,Womens Bottoms,Womens Pants,Throwback Still,Yoga
P8822091916,lulu Womens,Womens Outerwear,Womens Outerwear,Wunder Puff,Social
P3507898717,lulu Womens,Womens Bottoms,Womens Pants,Fast & Free,Run
P9998195518,lulu Womens,Womens Tops,Womens 2nd Layers,Define,Social
P0637601319,lulu Womens,Womens Tops,Womens 2nd Layers,Define,Social
P1698199920,lulu Womens,Womens Tops,Womens 2nd Layers,Define,Social
P3563287321,lulu Mens,Mens Outerwear,Mens Outerwear,Wunder Puff,Social
P8829132622,lulu Womens,Womens Tops,Womens 2nd Layers,Define,Social
P9404150923,lulu Womens,Womens Bottoms,Womens Pants,Fast & Free,Run
P5173563224,lulu Womens,Womens Tops,Womens 2nd Layers,Scuba,Lounge
P7652367225,lulu Womens,Womens Outerwear,Womens Outerwear,Wunder Puff,Social
P3809894526,lulu Womens,Womens Bottoms,Womens Pants,Groove,Yoga
P8349808227,lulu Womens,Womens Bottoms,Womens Pants,Wunder Train,Train
P4917524428,lulu Womens,Womens Bottoms,Womens Pants,Groove,Yoga
P2272024929,lulu Womens,Womens Tops,Womens 2nd Layers,Scuba,Lounge
P7597708730,lulu Womens,Womens Bottoms,Womens Pants,Throwback Still,Yoga
P7351364531,lulu Womens,Womens Tops,Womens Tanks,Ebb To Street,Yoga
P9114387632,lulu Womens,Womens Bottoms,Womens Pants,Groove,Yoga
P5262047033,lulu Womens,Womens Outerwear,Womens Outerwear,Wunder Puff,Social
P7006572134,lulu Womens,Womens Bottoms,Womens Pants,Loungeful,Lounge
P6683644135,lulu Womens,Womens Bottoms,Womens Pants,Align Tight,Yoga
P1136237036,lulu Womens,Womens Bottoms,Womens Pants,Softstreme,Lounge
P6692525337,lulu Womens,Womens Tops,Womens 2nd Layers,Define,Social
P4736297438,lulu Womens,Womens Bottoms,Womens Pants,Adapted State,Run
P8472347739,lulu Womens,Womens Outerwear,Womens Outerwear,Wunder Puff,Social
P8661671040,lulu Womens,Womens Tops,Womens 2nd Layers,Define,Social
P2521471141,lulu Womens,Womens Bottoms,Womens Pants,Align Tight,Yoga
P1519941542,lulu Womens,Womens Bottoms,Womens Pants,Scuba,Lounge
P5661174743,lulu Womens,Womens Tops,Womens 2nd Layers,Scuba,Lounge
P3731411944,lulu Accessories,Accessories,Bags,Bags - Wunderlust,Social
P6290408945,lulu Accessories,Accessories,Bags,Bags - Wunderlust,Social
P9202903546,lulu Womens,Womens Bottoms,Womens Pants,Fast & Free,Run
P2590005447,lulu Womens,Womens Outerwear,Womens Outerwear,Wunder Puff,Social
P7723910948,lulu Womens,Womens Bottoms,Womens Pants,Dance Studio,Social
P2376905449,lulu Womens,Womens Tops,Womens SS-LS Tops,Swiftly,Run
P1491749950,lulu Womens,Womens Tops,Womens SS-LS Tops,Swiftly,Run
P9208298551,lulu Womens,Womens Tops,Womens 2nd Layers,Define,Social
P7941952652,lulu Womens,Womens Tops,Womens SS-LS Tops,Hold Tight,Social
P9222635753,lulu Womens,Womens Tops,Womens 2nd Layers,Define,Social
P9348809354,lulu Womens,Womens Bottoms,Womens Shorts/Skirts,Pace Rival,Run
P2155372755,lulu Womens,Womens Tops,Womens 2nd Layers,Scuba,Lounge
P6365425556,lulu Womens,Womens Bottoms,Womens Shorts/Skirts,Align Tight,Yoga
P8358736857,lulu Womens,Womens Bottoms,Womens Pants,Align Tight,Yoga
P2540995058,lulu Womens,Womens Bottoms,Womens Pants,Groove,Yoga
P5667635059,lulu Womens,Womens Tops,Womens 2nd Layers,Scuba,Lounge
P2439930160,lulu Womens,Womens Bottoms,Womens Pants,InStill,Yoga
P7937139561,lulu Womens,Womens Bottoms,Womens Pants,Align Tight,Yoga
P7722587562,lulu Womens,Womens Bottoms,Womens Pants,Luxtreme™ Slim-Fit Pull-On Mr Pants,Social
P6609073463,lulu Womens,Womens Bottoms,Womens Pants,Fast & Free,Run
P8804597464,lulu Womens,Womens Tops,Womens 2nd Layers,Scuba,Lounge
