customer_code,paid_date,channel,subchannel,sku_code
C07513528765,2023-11-26,Retail,Store,P781951271529
C07513528765,2023-10-17,Retail,Store,P444199936718
C07513528765,2023-11-19,EC,.CN,P642187735821
C07513528765,2023-12-25,EC,Douyin,P021094138295
C07513528765,2023-02-10,Retail,Store,P337300975454
C07513528765,2023-02-26,Retail,Store,P0065328114294
C07513528765,2023-07-25,EC,JD,P9150259710723
C07513528765,2024-01-03,EC,.CN,P378614871490
C07513528765,2023-10-14,EC,.CN,P63783425625
C07513528765,2023-07-06,Retail,Store,P4341613013792
C07513528765,2023-05-06,EC,Tmall,P693580275774
C07513528765,2023-10-01,Retail,Store,P841257993954
C07513528765,2023-02-05,EC,Douyin,P24499977972
C07513528765,2023-03-08,Retail,Store,P807583622054
C07513528765,2023-10-28,Retail,Store,P198135075258
C07513528765,2023-04-17,EC,JD,P736757358671
C07513528765,2023-04-18,EC,.CN,P0190876413424
C07513528765,2023-09-07,EC,Douyin,P4498030011361
C07513528765,2024-01-18,Retail,Store,P709554035476
C07513528765,2023-08-15,Retail,Store,P2911267211290
C07513528765,2023-03-03,EC,Douyin,P089970864074
C07513528765,2023-02-13,EC,.CN,P65469514461
C07513528765,2023-09-18,EC,.CN,P766826386405
C07513528765,2023-06-17,Retail,Store,P736175577516
C07513528765,2023-07-08,EC,Tmall,P0253856613936
C07513528765,2023-08-28,Retail,Store,P9385017012077
C07513528765,2023-03-10,Retail,Store,P978169225
C07513528765,2023-05-20,Retail,Store,P65572888862
C07513528765,2023-07-11,EC,.CN,P43496257159
C07513528765,2023-05-18,Retail,Store,P723109985590
C07513528765,2023-06-02,Retail,Store,P124568865795
C551206541049,2023-08-19,Retail,Store,P830060048813
C551206541049,2023-04-23,Retail,Store,P868664296360
C551206541049,2023-12-29,Retail,Store,P726215574367
C998123371301,2023-02-26,Retail,Store,P631795748480
C932013881534,2023-07-22,Retail,Store,P569017608895
C932013881534,2023-06-08,EC,Tmall,P788443479902
C932013881534,2023-06-05,EC,.CN,P740372721235
C932013881534,2023-11-14,Retail,Store,P025571664500
C932013881534,2023-04-16,Retail,Store,P595002027688
C932013881534,2023-07-24,Retail,Store,P771600493502
C932013881534,2023-05-18,EC,MPS,P154909005841
C95676886589,2023-03-03,EC,MPS,P247665319513
C95676886589,2023-10-13,Retail,Store,P654816386139
C95676886589,2023-03-15,Retail,Store,P808099942632
C95676886589,2023-08-04,EC,JD,P462294832352
C338679521051,2023-08-03,Retail,Store,P147468641268
C454864221273,2023-03-14,Retail,Store,P175849242850
C314116471703,2023-10-13,EC,MPS,P851604213515
C314116471703,2023-10-29,Retail,Store,P3536148011945
C314116471703,2023-04-19,Retail,Store,P7611970614039
